Ciudad,Altitud,Año,Mes,Día,T.Max,T.Min,T.media,Dir.Viento,Vel.Viento,Precipitación,Sol,Presión.máx,Presión.min
Huelva,19,1990,1,1,15.4,9.4,12.4,300,1.9,9.5,1.8,1020.0,1016.3
Huelva,19,1990,1,2,14.6,6.0,10.3,270,2.8,20.8,2.0,1020.9,1011.4
Huelva,19,1990,1,3,13.2,8.2,10.7,270,3.1,2.0,4.0,1017.4,1010.0
Huelva,19,1990,1,4,15.2,6.2,10.7,10,2.2,0.0,5.4,1024.6,1017.4
Huelva,19,1990,1,5,15.2,9.2,12.2,70,1.7,0.0,3.1,1027.3,1024.6
Huelva,19,1990,1,6,17.4,7.4,12.4,60,1.7,0.0,5.5,1026.9,1025.0
Huelva,19,1990,1,7,17.4,7.2,12.3,10,1.7,0.0,4.4,1029.2,1026.7
Huelva,19,1990,1,8,16.0,6.4,11.2,70,3.1,0.0,8.5,1029.0,1025.5
Huelva,19,1990,1,9,15.8,7.4,11.6,250,2.5,0.0,8.6,1029.0,1027.5
Huelva,19,1990,1,10,15.4,4.8,10.1,60,1.7,0.0,8.6,1027.9,1024.1
Huelva,19,1990,1,11,14.0,4.0,9.0,70,1.9,0.0,8.8,1024.5,1022.7
Huelva,19,1990,1,12,16.0,3.8,9.9,60,1.1,0.0,7.5,1025.0,1023.1
Huelva,19,1990,1,13,16.8,4.6,10.7,60,1.7,0.0,8.2,1026.4,1023.8
Huelva,19,1990,1,14,17.8,6.4,12.1,350,1.7,0.0,8.5,1028.1,1025.6
Huelva,19,1990,1,15,16.0,5.2,10.6,330,1.7,0.0,7.1,1028.5,1025.6
Huelva,19,1990,1,16,16.4,5.8,11.1,60,2.5,0.0,8.5,1029.0,1026.5
Huelva,19,1990,1,17,16.6,6.2,11.4,280,1.7,0.0,7.0,1027.7,1024.5
Huelva,19,1990,1,18,16.0,5.0,10.5,340,0.8,0.0,3.5,1026.8,1024.5
Huelva,19,1990,1,19,16.4,4.0,10.2,120,1.7,0.0,8.8,1029.2,1025.4
Huelva,19,1990,1,20,16.4,4.8,10.6,270,1.7,0.0,8.4,1033.1,1029.2
Huelva,19,1990,1,21,16.0,3.4,9.7,60,1.7,0.0,7.8,1034.4,1032.1
Huelva,19,1990,1,22,17.6,2.2,9.9,350,1.7,0.0,8.7,1033.4,1030.7
Huelva,19,1990,1,23,16.0,2.4,9.2,10,0.8,0.0,7.5,1032.7,1029.3
Huelva,19,1990,1,24,16.4,8.2,12.3,280,1.4,0.0,1.3,1031.5,1028.6
Huelva,19,1990,1,25,15.6,12.4,14.0,310,2.5,0.0,0.1,1030.2,1026.7
Huelva,19,1990,1,26,17.6,12.2,14.9,240,3.1,1.2,2.0,1027.5,1018.5
Huelva,19,1990,1,27,17.0,11.6,14.3,210,6.4,13.4,0.6,1018.5,1006.4
Huelva,19,1990,1,28,14.2,6.8,10.5,350,2.8,0.0,5.8,1016.1,1005.9
Huelva,19,1990,1,29,15.6,3.4,9.5,220,5.0,2.9,4.0,1018.9,1016.1
Huelva,19,1990,1,30,16.6,5.6,11.1,190,1.7,0.0,6.6,1023.0,1018.4
Huelva,19,1990,1,31,16.0,7.4,11.7,300,3.9,4.4,0.7,1019.2,1012.0
Huelva,19,1990,2,1,15.4,3.2,9.3,200,1.7,0.0,6.1,1022.8,1019.2
Huelva,19,1990,2,2,17.0,8.4,12.7,70,1.7,0.0,2.7,1024.1,1020.1
Huelva,19,1990,2,3,18.6,7.0,12.8,10,0.6,0.0,7.2,1024.1,1020.9
Huelva,19,1990,2,4,20.2,7.0,13.6,140,1.4,0.0,8.6,1024.2,1020.3
Huelva,19,1990,2,5,18.4,8.2,13.3,180,2.2,0.0,3.9,1022.0,1017.6
Huelva,19,1990,2,6,18.6,11.4,15.0,190,2.5,0.0,1.6,1023.9,1018.0
Huelva,19,1990,2,7,17.6,12.0,14.8,350,0.3,0.0,0.7,1027.3,1023.6
Huelva,19,1990,2,8,21.2,10.2,15.7,210,2.2,0.0,7.6,1029.0,1026.0
Huelva,19,1990,2,9,21.2,8.8,15.0,60,1.4,0.0,8.4,1027.3,1023.6
Huelva,19,1990,2,10,16.2,8.6,12.4,310,2.2,0.0,1.8,1026.0,1023.2
Huelva,19,1990,2,11,17.4,9.0,13.2,310,3.9,0.0,8.7,1027.5,1025.3
Huelva,19,1990,2,12,18.4,7.4,12.9,270,3.6,0.0,8.4,1028.2,1025.1
Huelva,19,1990,2,13,18.4,8.2,13.3,330,2.5,0.0,6.1,1027.6,1024.2
Huelva,19,1990,2,14,20.6,6.0,13.3,10,2.5,0.0,9.2,1024.9,1021.1
Huelva,19,1990,2,15,19.2,5.6,12.4,290,2.5,0.0,9.1,1021.6,1018.1
Huelva,19,1990,2,16,19.8,6.4,13.1,10,1.1,0.0,9.2,1018.2,1015.0
Huelva,19,1990,2,17,16.6,5.2,10.9,350,1.4,0.0,2.0,1016.6,1014.6
Huelva,19,1990,2,18,17.0,9.6,13.3,70,1.7,0.0,0.0,1020.3,1015.4
Huelva,19,1990,2,19,22.4,7.8,15.1,60,1.7,0.0,8.6,1022.3,1019.3
Huelva,19,1990,2,20,20.6,9.4,15.0,200,1.4,0.0,8.6,1023.8,1020.4
Huelva,19,1990,2,21,21.6,8.4,15.0,90,1.7,0.0,7.1,1027.3,1023.8
Huelva,19,1990,2,22,22.2,9.0,15.6,60,2.8,0.0,8.8,1027.4,1025.4
Huelva,19,1990,2,23,23.0,8.8,15.9,60,1.9,0.0,9.0,1029.8,1027.4
Huelva,19,1990,2,24,22.0,7.6,14.8,60,2.5,0.0,9.2,1029.5,1024.9
Huelva,19,1990,2,25,20.4,10.0,15.2,10,2.5,0.0,7.7,1025.9,1023.2
Huelva,19,1990,2,26,21.6,8.2,14.9,300,2.2,0.0,9.0,1029.0,1025.9
Huelva,19,1990,2,27,22.6,9.4,16.0,70,2.2,0.0,9.0,1028.7,1025.6
Huelva,19,1990,2,28,21.2,10.8,16.0,350,2.2,0.0,8.8,1025.6,1020.3
Huelva,19,1990,3,1,19.4,8.6,14.0,250,3.1,0.0,8.9,1020.3,1017.1
Huelva,19,1990,3,2,19.0,8.2,13.6,80,2.2,0.0,4.4,1020.0,1016.8
Huelva,19,1990,3,3,15.6,9.6,12.6,80,8.1,8.6,0.0,1020.7,1016.7
Huelva,19,1990,3,4,18.0,8.4,13.2,80,6.4,3.8,0.4,1020.5,1017.4
Huelva,19,1990,3,5,18.2,10.4,14.3,70,3.3,0.0,1.4,1021.8,1019.1
Huelva,19,1990,3,6,20.6,9.8,15.2,60,2.2,0.0,6.6,1021.8,1017.8
Huelva,19,1990,3,7,18.6,10.2,14.4,180,3.9,0.0,3.6,1020.0,1017.6
Huelva,19,1990,3,8,19.0,12.6,15.8,190,1.7,0.0,3.9,1026.1,1019.4
Huelva,19,1990,3,9,22.6,8.6,15.6,60,4.2,0.6,9.4,1027.7,1025.6
Huelva,19,1990,3,10,23.2,14.0,18.6,110,4.7,1.1,5.7,1027.8,1023.9
Huelva,19,1990,3,11,20.2,12.4,16.3,150,2.5,0.4,0.7,1027.8,1025.6
Huelva,19,1990,3,12,21.4,13.0,17.2,250,1.9,0.0,6.5,1027.4,1025.4
Huelva,19,1990,3,13,21.4,12.2,16.8,10,2.2,0.0,6.9,1028.4,1025.2
Huelva,19,1990,3,14,23.2,10.2,16.7,290,2.5,0.0,10.3,1026.7,1024.8
Huelva,19,1990,3,15,23.4,10.0,16.7,60,1.9,0.0,9.4,1026.9,1024.1
Huelva,19,1990,3,16,25.4,10.2,17.8,130,3.3,0.0,8.8,1025.6,1020.9
Huelva,19,1990,3,17,24.0,9.6,16.8,130,3.6,0.0,7.4,1023.1,1021.1
Huelva,19,1990,3,18,24.0,9.4,16.7,130,2.2,0.0,9.0,1025.8,1022.9
Huelva,19,1990,3,19,23.6,9.8,16.7,60,2.2,0.0,5.4,1027.4,1025.1
Huelva,19,1990,3,20,24.6,9.4,17.0,60,1.1,0.0,7.7,1028.2,1024.6
Huelva,19,1990,3,21,27.2,8.8,18.0,80,3.1,0.0,9.3,1025.7,1021.6
Huelva,19,1990,3,22,26.2,8.6,17.4,260,2.2,0.0,7.5,1022.6,1019.2
Huelva,19,1990,3,23,20.4,12.2,16.3,300,2.2,0.0,0.9,1021.1,1017.7
Huelva,19,1990,3,24,23.2,9.8,16.5,10,3.3,0.0,8.4,1021.4,1018.3
Huelva,19,1990,3,25,26.0,11.8,18.9,340,2.2,0.0,10.0,1021.5,1017.4
Huelva,19,1990,3,26,24.2,10.2,17.2,60,2.8,0.0,10.7,1019.0,1015.8
Huelva,19,1990,3,27,23.4,7.2,15.3,60,3.9,0.0,11.0,1018.2,1015.4
