"";"carr";"gene";"estr";"orig";"age"
"1";"Biol";"F";"alto";"Bogo";17
"2";"Biol";"M";"medio";"Bogo";17
"3";"Biol";"F";"bajo";"Bogo";18
"4";"Biol";"F";"bajo";"Bogo";18
"5";"Biol";"M";"medio";"Bogo";17
"6";"Biol";"F";"medio";"Bogo";17
"7";"Biol";"F";"medio";"Bogo";17
"8";"Biol";"M";"medio";"Bogo";17
"9";"Biol";"F";"medio";"Bogo";19
"10";"Biol";"M";"medio";"Bogo";18
"11";"Biol";"M";"bajo";"Bogo";17
"12";"Biol";"M";"medio";"Bogo";17
"13";"Biol";"M";"medio";"Bogo";16
"14";"Biol";"F";"alto";"Bogo";17
"15";"Biol";"M";"medio";"Bogo";17
"16";"Biol";"M";"medio";"Bogo";18
"17";"Biol";"M";"medio";"Bogo";20
"18";"Biol";"F";"medio";"Bogo";20
"19";"Biol";"M";"alto";"Otro";17
"20";"Biol";"M";"medio";"Bogo";35
"21";"Biol";"M";"bajo";"Bogo";20
"22";"Biol";"F";"bajo";"Bogo";19
"23";"Biol";"M";"alto";"Otro";17
"24";"Biol";"M";"bajo";"Bogo";19
"25";"Biol";"F";"medio";"Otro";17
"26";"Biol";"M";"bajo";"Cund";17
"27";"Biol";"F";"alto";"Bogo";16
"28";"Biol";"F";"medio";"Cund";17
"29";"Biol";"M";"bajo";"Bogo";20
"30";"Biol";"M";"bajo";"Otro";16
"31";"Biol";"F";"alto";"Cund";16
"32";"Biol";"M";"bajo";"Bogo";21
"33";"Biol";"F";"bajo";"Otro";20
"34";"Biol";"M";"medio";"Cund";16
"35";"Biol";"M";"bajo";"Cund";17
"36";"Biol";"F";"bajo";"Otro";16
"37";"Biol";"M";"bajo";"Cund";17
"38";"Biol";"F";"medio";"Otro";16
"39";"Biol";"M";"alto";"Cund";17
"40";"Biol";"F";"bajo";"Otro";18
"41";"Biol";"M";"bajo";"Otro";18
"42";"Biol";"F";"medio";"Otro";16
"43";"Biol";"M";"bajo";"Otro";17
"44";"Biol";"M";"alto";"Bogo";17
"45";"Biol";"F";"medio";"Bogo";16
"46";"Biol";"M";"alto";"Bogo";19
"47";"Biol";"M";"alto";"Bogo";16
"48";"Biol";"M";"medio";"Bogo";19
"49";"Biol";"M";"medio";"Bogo";17
"50";"Biol";"M";"bajo";"Bogo";18
"51";"Biol";"M";"alto";"Bogo";17
"52";"Biol";"M";"alto";"Bogo";18
"53";"Biol";"F";"medio";"Bogo";18
"54";"Biol";"M";"bajo";"Bogo";17
"55";"Biol";"M";"alto";"Bogo";17
"56";"Biol";"M";"medio";"Bogo";16
"57";"Biol";"F";"alto";"Bogo";17
"58";"Biol";"M";"bajo";"Otro";16
"59";"Biol";"F";"medio";"Otro";17
"60";"Biol";"M";"medio";"Otro";17
"61";"Biol";"M";"bajo";"Otro";16
"62";"Biol";"F";"bajo";"Otro";15
"63";"Biol";"M";"bajo";"Otro";16
"64";"Esta";"M";"medio";"Bogo";17
"65";"Esta";"M";"alto";"Bogo";16
"66";"Esta";"M";"bajo";"Bogo";17
"67";"Esta";"F";"alto";"Bogo";16
"68";"Esta";"M";"medio";"Bogo";17
"69";"Esta";"M";"medio";"Bogo";30
"70";"Esta";"M";"bajo";"Bogo";17
"71";"Esta";"M";"bajo";"Bogo";17
"72";"Esta";"M";"medio";"Bogo";17
"73";"Esta";"M";"medio";"Bogo";17
"74";"Esta";"F";"bajo";"Bogo";19
"75";"Esta";"M";"bajo";"Bogo";17
"76";"Esta";"M";"medio";"Bogo";16
"77";"Esta";"F";"medio";"Bogo";17
"78";"Esta";"F";"medio";"Bogo";16
"79";"Esta";"F";"medio";"Bogo";16
"80";"Esta";"M";"bajo";"Bogo";17
"81";"Esta";"F";"alto";"Bogo";16
"82";"Esta";"M";"bajo";"Bogo";19
"83";"Esta";"M";"medio";"Bogo";17
"84";"Esta";"M";"bajo";"Bogo";17
"85";"Esta";"F";"bajo";"Bogo";16
"86";"Esta";"M";"bajo";"Bogo";16
"87";"Esta";"F";"medio";"Bogo";16
"88";"Esta";"M";"medio";"Bogo";39
"89";"Esta";"F";"bajo";"Bogo";20
"90";"Esta";"M";"bajo";"Bogo";21
"91";"Esta";"F";"bajo";"Cund";17
"92";"Esta";"M";"bajo";"Bogo";19
"93";"Esta";"M";"bajo";"Bogo";20
"94";"Esta";"M";"bajo";"Bogo";16
"95";"Esta";"M";"medio";"Bogo";18
"96";"Esta";"M";"bajo";"Bogo";25
"97";"Esta";"F";"medio";"Cund";16
"98";"Esta";"M";"bajo";"Bogo";31
"99";"Esta";"M";"bajo";"Otro";17
"100";"Esta";"M";"medio";"Bogo";18
"101";"Esta";"M";"medio";"Bogo";30
"102";"Esta";"F";"bajo";"Cund";17
"103";"Esta";"M";"bajo";"Cund";22
"104";"Esta";"M";"alto";"Cund";17
"105";"Esta";"M";"medio";"Otro";17
"106";"Esta";"M";"medio";"Otro";16
"107";"Esta";"F";"alto";"Otro";17
"108";"Esta";"M";"bajo";"Bogo";16
"109";"Esta";"M";"medio";"Bogo";16
"110";"Esta";"F";"bajo";"Bogo";16
"111";"Esta";"M";"medio";"Bogo";17
"112";"Esta";"F";"medio";"Bogo";15
"113";"Esta";"M";"medio";"Bogo";16
"114";"Esta";"M";"bajo";"Bogo";17
"115";"Esta";"M";"medio";"Bogo";16
"116";"Esta";"M";"bajo";"Bogo";19
"117";"Esta";"M";"medio";"Bogo";17
"118";"Esta";"F";"medio";"Bogo";22
"119";"Esta";"M";"medio";"Bogo";17
"120";"Esta";"M";"alto";"Bogo";18
"121";"Esta";"M";"bajo";"Bogo";17
"122";"Esta";"M";"alto";"Bogo";17
"123";"Esta";"M";"bajo";"Otro";20
"124";"Esta";"M";"bajo";"Otro";18
"125";"Esta";"F";"medio";"Otro";17
"126";"Esta";"M";"medio";"Otro";17
"127";"Esta";"M";"bajo";"Otro";18
"128";"Esta";"M";"medio";"Otro";17
"129";"Esta";"M";"alto";"Bogo";17
"130";"Farm";"M";"medio";"Bogo";17
"131";"Farm";"F";"medio";"Bogo";16
"132";"Farm";"F";"medio";"Bogo";17
"133";"Farm";"F";"medio";"Bogo";16
"134";"Farm";"M";"medio";"Bogo";17
"135";"Farm";"M";"medio";"Bogo";18
"136";"Farm";"F";"medio";"Bogo";18
"137";"Farm";"F";"medio";"Bogo";19
"138";"Farm";"M";"bajo";"Bogo";17
"139";"Farm";"F";"medio";"Bogo";17
"140";"Farm";"F";"bajo";"Bogo";17
"141";"Farm";"F";"medio";"Bogo";16
"142";"Farm";"F";"medio";"Bogo";18
"143";"Farm";"F";"medio";"Bogo";17
"144";"Farm";"F";"medio";"Bogo";17
"145";"Farm";"F";"medio";"Bogo";17
"146";"Farm";"F";"medio";"Bogo";16
"147";"Farm";"M";"medio";"Bogo";16
"148";"Farm";"F";"bajo";"Bogo";23
"149";"Farm";"F";"medio";"Bogo";17
"150";"Farm";"F";"bajo";"Bogo";16
"151";"Farm";"F";"medio";"Bogo";17
"152";"Farm";"F";"medio";"Bogo";16
"153";"Farm";"F";"medio";"Bogo";18
"154";"Farm";"M";"bajo";"Bogo";23
"155";"Farm";"M";"medio";"Otro";17
"156";"Farm";"M";"medio";"Bogo";23
"157";"Farm";"F";"bajo";"Bogo";17
"158";"Farm";"M";"bajo";"Bogo";20
"159";"Farm";"M";"medio";"Bogo";18
"160";"Farm";"M";"bajo";"Bogo";19
"161";"Farm";"M";"medio";"Bogo";18
"162";"Farm";"M";"medio";"Bogo";18
"163";"Farm";"F";"bajo";"Otro";16
"164";"Farm";"M";"medio";"Bogo";18
"165";"Farm";"F";"bajo";"Bogo";18
"166";"Farm";"M";"bajo";"Bogo";26
"167";"Farm";"F";"bajo";"Bogo";18
"168";"Farm";"M";"bajo";"Bogo";17
"169";"Farm";"F";"medio";"Otro";16
"170";"Farm";"M";"bajo";"Bogo";18
"171";"Farm";"M";"bajo";"Cund";20
"172";"Farm";"M";"bajo";"Cund";18
"173";"Farm";"M";"bajo";"Cund";16
"174";"Farm";"F";"bajo";"Bogo";16
"175";"Farm";"M";"alto";"Bogo";20
"176";"Farm";"F";"medio";"Otro";16
"177";"Farm";"F";"bajo";"Otro";16
"178";"Farm";"M";"medio";"Cund";17
"179";"Farm";"F";"bajo";"Otro";22
"180";"Farm";"F";"bajo";"Bogo";20
"181";"Farm";"M";"medio";"Bogo";17
"182";"Farm";"M";"medio";"Bogo";19
"183";"Farm";"F";"bajo";"Otro";19
"184";"Farm";"M";"medio";"Bogo";17
"185";"Farm";"F";"medio";"Bogo";18
"186";"Farm";"F";"alto";"Bogo";17
"187";"Farm";"M";"bajo";"Bogo";17
"188";"Farm";"F";"alto";"Bogo";17
"189";"Farm";"M";"medio";"Bogo";16
"190";"Farm";"F";"medio";"Bogo";17
"191";"Farm";"M";"bajo";"Bogo";17
"192";"Farm";"F";"medio";"Bogo";18
"193";"Farm";"F";"alto";"Bogo";16
"194";"Farm";"M";"alto";"Bogo";16
"195";"Farm";"M";"bajo";"Bogo";18
"196";"Farm";"M";"alto";"Bogo";16
